Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-27,14.266107559204102,14.77927689586612,14.266107559204102,14.266107559204102,50000,0.0,0
1998-03-02,14.163469314575195,14.163469314575195,13.958201643349467,14.163469314575195,75000,0.0,0
1998-03-03,14.06083869934082,14.06083869934082,13.752937121982992,14.06083869934082,35000,0.0,0
1998-03-04,12.931868553161621,12.931868553161621,12.726600798349532,12.931868553161621,60000,0.0,0
1998-03-05,13.239765167236328,13.239765167236328,13.239765167236328,13.239765167236328,400,0.0,0
1998-03-06,13.239765167236328,13.445032844247743,13.239765167236328,13.239765167236328,3600,0.0,0
1998-03-09,13.239765903142493,13.547667435773713,13.034498214721678,13.03449821472168,3200,0.0,0
1998-03-10,13.034502726334793,13.85557376421415,13.034502726334793,13.34240436553955,56800,0.0,0
1998-03-11,13.342404365539553,13.547672125009392,13.239770485804632,13.34240436553955,10400,0.0,0
1998-03-12,13.342403018747577,13.445036888122559,13.239769149372595,13.445036888122559,3800,0.0,0
1998-03-13,13.5476655960083,13.5476655960083,13.5476655960083,13.5476655960083,1000,0.0,0
1998-03-16,13.547666682753452,13.547666682753452,13.239765167236328,13.239765167236328,7700,0.0,0
1998-03-17,13.239765903142493,13.239765903142493,12.931864370511272,13.03449821472168,28000,0.0,0
1998-03-18,13.034497490224911,13.239765167236328,12.931863651719205,13.239765167236328,45700,0.0,0
1998-03-19,13.239767826386611,14.266106417579373,13.137133967267335,14.06083869934082,383600,0.0,0
1998-03-20,14.163471624884806,14.574007034301758,14.163471624884806,14.574007034301758,275600,0.0,0
1998-03-23,14.574009232173692,15.600347910495783,14.266107628677064,15.497714042663574,398600,0.0,0
1998-03-24,15.497709600231314,16.31878030752834,15.497709600231314,16.21614646911621,261800,0.0,0
1998-03-25,16.216143266210015,16.524044720631725,16.010875629928876,16.318777084350586,135600,0.0,0
1998-03-26,16.318781640119614,16.318781640119614,15.805612406153589,16.113513946533203,26300,0.0,0
1998-03-27,16.113517024300318,16.216150890697133,15.087178360332143,15.805615425109863,62200,0.0,0
