Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-06-18,8.406370702190934,8.647701918521774,8.406370702190934,8.6074800491333,7918300,0.0,0
1997-06-19,8.647699691879916,8.687921550911916,8.527034114783918,8.567255973815918,1472400,0.0,0
1997-06-20,8.607475271722151,8.607475271722151,8.446587883465664,8.486809730529785,1030200,0.0,0
1997-06-23,8.486809082578814,8.486809082578814,8.406365394592285,8.406365394592285,628900,0.0,0
1997-06-24,8.426476153824256,8.446587075432427,8.38625431060791,8.38625431060791,541800,0.0,0
1997-06-25,8.446588042780016,8.547142662336922,8.446588042780016,8.50692081451416,570500,0.0,0
1997-06-26,8.607479695920592,8.687923431396484,8.547146894313672,8.687923431396484,488700,0.0,0
1997-06-27,8.687920255439225,8.728142108473667,8.607476549370343,8.647698402404785,586400,0.0,0
1997-06-30,8.627587467158607,8.848807658624212,8.446589128686748,8.768363952636719,629800,0.0,0
1997-07-01,8.728143409943916,8.728143409943916,8.567255973815918,8.567255973815918,269700,0.0,0
1997-07-02,8.486809730529785,8.56725342465803,8.486809730529785,8.486809730529785,350800,0.0,0
1997-07-03,8.506923185267919,8.607477832847918,8.506923185267919,8.567255973815918,173000,0.0,0
1997-07-07,8.647701918521774,8.667812853216011,8.527036310356355,8.6074800491333,449500,0.0,0
1997-07-08,8.587368965148926,8.64770176818276,8.567258030804314,8.587368965148926,239400,0.0,0
1997-07-09,8.567255818984087,8.587366748136631,8.527033960678997,8.547144889831543,226000,0.0,0
1997-07-10,8.527031577593908,8.527031577593908,8.466698806997725,8.486809730529785,425100,0.0,0
1997-07-11,8.486809890602778,8.52703173842554,8.466698966691398,8.50692081451416,326300,0.0,0
1997-07-14,8.587369114439063,8.748256591992957,8.567258179744828,8.6074800491333,311000,0.0,0
1997-07-15,8.66781270252737,8.66781270252737,8.547147096459703,8.587368965148926,534400,0.0,0
1997-07-16,8.587365622853124,8.687920255439225,8.567254696335903,8.647698402404785,443700,0.0,0
1997-07-17,8.667810748410831,8.748254467653624,8.667810748410831,8.708032608032227,443800,0.0,0
1997-07-18,8.687921550911916,8.708032480427915,8.486812255751918,8.567255973815918,359600,0.0,0
1997-07-21,8.48681458782205,8.647702068159909,8.446592717737586,8.627591133117676,422700,0.0,0
1997-07-22,8.627591133117676,8.667813003202141,8.607480198075443,8.627591133117676,246500,0.0,0
