Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-07-24,0.0,1.9351359605789187,1.9044195167602056,1.9351359605789185,15566400,0.0,0.0
1987-07-27,0.0,1.9351350116729737,1.9044185829162599,1.9197767972946167,1931200,0.0,0.0
1987-07-28,0.0,1.919777282784062,1.9044190645217896,1.9044190645217896,2074800,0.0,0.0
1987-07-29,0.0,1.919777282784062,1.9044190645217896,1.9044190645217896,4930800,0.0,0.0
1987-07-30,0.0,1.9197771783734932,1.8737025260925293,1.8737025260925293,4654400,0.0,0.0
1987-07-31,0.0,1.8583446062844375,1.7508370670778999,1.7815535068511963,3006800,0.0,0.0
1987-08-03,0.0,1.8890602588653564,1.7201199105115441,1.8890602588653564,1277600,0.0,0.0
1987-08-04,0.0,1.9197775558991865,1.842986453663219,1.8583446741104126,698400,0.0,0.0
1987-08-05,0.0,1.873702894557606,1.842986453663219,1.8583446741104126,262000,0.0,0.0
1987-08-06,0.0,1.8583443244298299,1.8276278893152873,1.8429861068725586,480400,0.0,0.0
1987-08-07,0.0,1.8890602588653564,1.8429856184052258,1.8890602588653564,582400,0.0,0.0
1987-08-10,0.0,1.9504932260513308,1.873702154159546,1.9197767972946167,1524800,0.0,0.0
1987-08-11,0.0,1.9351359605789187,1.9044195167602056,1.9351359605789185,2395200,0.0,0.0
1987-08-12,0.0,1.9351359605789187,1.9197777386695623,1.9351359605789185,1514400,0.0,0.0
1987-08-13,0.0,1.9351355010463345,1.889060846259517,1.9044190645217896,516000,0.0,0.0
1987-08-14,0.0,1.9351355010463345,1.889060846259517,1.9044190645217896,324000,0.0,0.0
1987-08-17,0.0,1.9044190645217896,1.889060846259517,1.9044190645217896,183600,0.0,0.0
1987-08-18,0.0,1.9044191096009324,1.8276280164718626,1.8276280164718628,554400,0.0,0.0
1987-08-19,0.0,1.8429861068725586,1.7969114542007447,1.8429861068725586,304400,0.0,0.0
1987-08-20,0.0,1.8737025419871012,1.8429861068725586,1.8429861068725586,516000,0.0,0.0
1987-08-21,0.0,1.8890607435195172,1.8276278738115657,1.8737025260925293,620400,0.0,0.0
1987-08-24,0.0,1.9351359605789187,1.8890612948508492,1.9351359605789185,1596800,0.0,0.0
1987-08-25,0.0,2.0426433194767344,1.93513577634638,2.027285099029541,1371600,0.0,0.0
1987-08-26,0.0,2.1501505547675537,2.0580012452775156,2.119434118270874,1897200,0.0,0.0
1987-08-27,0.0,2.1194346321953668,2.058001744305646,2.073359966278076,604800,0.0,0.0
1987-08-28,0.0,2.088717222213745,2.0580007924753074,2.088717222213745,171200,0.0,0.0
1987-08-31,0.0,2.073359966278076,2.0426435223332158,2.073359966278076,192000,0.0,0.0
1987-09-01,0.0,2.104076422862153,2.058001756668091,2.058001756668091,1219600,0.0,0.0
1987-09-02,0.0,2.073359554633498,1.9504938032478092,1.9658520221710205,1449600,0.0,0.0
