Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,4.515470520259469,4.316602476967921,4.363394737243652,747600,0.0,0.0
1980-03-18,0.0,4.550557625574131,4.246407077862158,4.515463352203369,1204800,0.0,0.0
1980-03-19,0.0,4.632448817408362,4.52716588973999,4.52716588973999,745200,0.0,0.0
1980-03-20,0.0,4.585655249616095,4.398485297878945,4.421881675720215,430800,0.0,0.0
1980-03-21,0.0,4.468673639377951,4.33999490737915,4.33999490737915,453000,0.0,0.0
1980-03-24,0.0,4.316599018090323,4.0475425322308345,4.082636833190918,810000,0.0,0.0
1980-03-25,0.0,4.1762234416276565,3.930563239178971,3.977355480194092,2117400,0.0,0.0
1980-03-26,0.0,4.047544489440455,3.8954692902422416,3.91886568069458,816600,0.0,0.0
1980-03-27,0.0,3.872070827314065,3.5211278358506606,3.8369765281677246,1286400,0.0,0.0
1980-03-28,0.0,4.117730204419642,3.8954665270222804,4.047541618347168,837600,0.0,0.0
1980-03-31,0.0,4.129429262629919,3.9773536135821033,4.070938587188721,399600,0.0,0.0
1980-04-01,0.0,4.106031341932262,3.965654202037142,4.012446403503418,631200,0.0,0.0
1980-04-02,0.0,4.106032885354141,4.024146368133659,4.070938587188721,486000,0.0,0.0
1980-04-03,0.0,4.106034050995403,4.012449050821412,4.0241475105285645,483600,0.0,0.0
1980-04-07,0.0,4.0007511121886115,3.9305624961853027,3.9305624961853027,315000,0.0,0.0
1980-04-08,0.0,4.047543358949578,3.907166126436915,4.0241475105285645,348000,0.0,0.0
1980-04-09,0.0,4.152825030208216,4.024146296231851,4.141127109527588,824400,0.0,0.0
1980-04-10,0.0,4.176222324371338,4.106033713877702,4.176222324371338,516000,0.0,0.0
1980-04-11,0.0,4.328298091888428,4.199619311117941,4.328298091888428,829200,0.0,0.0
1980-04-14,0.0,4.375089168548584,4.2698062784136965,4.375089168548584,594600,0.0,0.0
1980-04-15,0.0,4.433578244223351,4.304899544097052,4.3165974617004395,346200,0.0,0.0
1980-04-16,0.0,4.339995314061153,4.1411274339327715,4.152825355529785,456600,0.0,0.0
1980-04-17,0.0,4.164523812623324,4.07093883335764,4.152825355529785,353400,0.0,0.0
1980-04-18,0.0,4.223013956104917,4.106033133645206,4.152825355529785,268800,0.0,0.0
1980-04-21,0.0,4.176221814249987,4.024146688588469,4.082636833190918,346800,0.0,0.0
1980-04-22,0.0,4.4686737060546875,4.0826364333053,4.4686737060546875,852000,0.0,0.0
1980-04-23,0.0,4.468673448718794,4.339994722210162,4.386786937713623,838800,0.0,0.0
1980-04-24,0.0,4.3984853743812335,4.269806632757419,4.351693153381348,589200,0.0,0.0
1980-04-25,0.0,4.351693153381348,4.234712333133375,4.351693153381348,379800,0.0,0.0
1980-04-28,0.0,4.4920696701727385,4.375088867677468,4.398484706878662,469200,0.0,0.0
1980-04-29,0.0,4.527161264828251,4.421878444715967,4.515463352203369,319800,0.0,0.0
1980-04-30,0.0,4.515466459749238,4.42188148785662,4.4686737060546875,215400,0.0,0.0
1980-05-01,0.0,4.55056258349321,4.41018533706665,4.41018533706665,627000,0.0,0.0
1980-05-02,0.0,4.4218814218780675,4.33999490737915,4.33999490737915,1040400,0.0,0.0
1980-05-05,0.0,4.3633936845925705,4.304903507232666,4.304903507232666,316200,0.0,0.0
1980-05-06,0.0,4.304902064485213,4.21131706237793,4.21131706237793,381000,0.0,0.0
1980-05-07,0.0,4.199617821121557,4.094334927573912,4.106032848358154,545400,0.0,0.0
1980-05-08,0.0,4.106032885354141,4.047542209912943,4.070938587188721,782400,0.0,0.0
1980-05-09,0.0,4.0358462877440875,3.977355583335833,4.000751972198486,482400,0.0,0.0
1980-05-12,0.0,4.012449898881434,3.9656576566528856,4.000751972198486,250800,0.0,0.0
1980-05-13,0.0,4.152825355529785,4.024146611473061,4.152825355529785,430200,0.0,0.0
1980-05-14,0.0,4.199618954836909,4.094336032867432,4.094336032867432,750600,0.0,0.0
1980-05-15,0.0,4.141127146207369,4.07093855050894,4.106032848358154,247200,0.0,0.0
1980-05-16,0.0,4.117731443862574,4.024146991261168,4.05924129486084,600600,0.0,0.0
1980-05-19,0.0,4.05924181865673,3.9890532024003984,4.0241475105285645,844200,0.0,0.0
1980-05-20,0.0,4.05924181865673,4.0241475105285645,4.0241475105285645,499800,0.0,0.0
1980-05-21,0.0,4.047544159893258,4.000751918295156,4.03584623336792,622800,0.0,0.0
1980-05-22,0.0,4.1879223206359875,4.0475450301621905,4.164526462554932,743400,0.0,0.0
1980-05-23,0.0,4.339995949567461,4.234713033288169,4.2698073387146,793200,0.0,0.0
1980-05-27,0.0,4.328297490760915,4.246410956598111,4.2698073387146,682800,0.0,0.0
1980-05-28,0.0,4.573957005878107,4.304901057912444,4.538862705230713,759000,0.0,0.0
1980-05-29,0.0,4.597352518714865,4.410183129021721,4.433578968048096,606000,0.0,0.0
1980-05-30,0.0,4.550561162444199,4.339995358559837,4.538862705230713,487800,0.0,0.0
1980-06-02,0.0,4.609051747240395,4.527165216398711,4.573957443237305,300000,0.0,0.0
1980-06-03,0.0,4.761128956583446,4.562260991284928,4.726034641265869,714000,0.0,0.0
1980-06-04,0.0,4.866409337407431,4.726032150131221,4.831315040588379,619800,0.0,0.0
1980-06-05,0.0,4.889807378597602,4.772826515060705,4.784524440765381,558600,0.0,0.0
1980-06-06,0.0,4.889805946876726,4.796221497647147,4.878108024597168,792000,0.0,0.0
1980-06-09,0.0,5.100372791290283,4.9716940137291585,5.100372791290283,964200,0.0,0.0
1980-06-10,0.0,5.229055089982889,5.100375703453,5.217357158660889,1206000,0.0,0.0
1980-06-11,0.0,5.404526990254721,5.182263071751901,5.2641496658325195,2180400,0.0,0.0
1980-06-12,0.0,5.240747700041788,5.006786098175986,5.123766899108887,1104000,0.0,0.0
1980-06-13,0.0,5.158863269400406,5.0769767293373755,5.1120710372924805,1853400,0.0,0.0
1980-06-16,0.0,5.123766999144654,5.018484115600586,5.018484115600586,370800,0.0,0.0
1980-06-17,0.0,5.135466575622559,5.0301836581120964,5.135466575622559,527400,0.0,0.0
1980-06-18,0.0,5.135466885598122,5.0769767293373755,5.1120710372924805,519600,0.0,0.0
1980-06-19,0.0,5.147164640799021,5.053579653894707,5.065277576446533,598200,0.0,0.0
1980-06-20,0.0,5.065276848353701,4.9833903312683105,4.9833903312683105,367800,0.0,0.0
1980-06-23,0.0,5.05357969607259,4.959994708387202,5.0301833152771,748800,0.0,0.0
1980-06-24,0.0,5.065277618722048,4.9833910891826925,5.0301833152771,554400,0.0,0.0
1980-06-25,0.0,5.193956086628443,5.076975272185191,5.1471638679504395,857400,0.0,0.0
1980-06-26,0.0,5.275840138571991,5.182255744934082,5.182255744934082,629400,0.0,0.0
1980-06-27,0.0,5.264145415901337,5.193956810355987,5.229051113128662,432600,0.0,0.0
1980-06-30,0.0,5.217353881164736,4.936599421828457,4.959995269775391,423600,0.0,0.0
1980-07-01,0.0,5.05357969607259,4.959994708387202,5.0301833152771,327000,0.0,0.0
1980-07-02,0.0,5.1471655608549325,5.053580557222299,5.100372791290283,337200,0.0,0.0
1980-07-03,0.0,5.392823906324614,5.182258120856362,5.381125450134277,1262400,0.0,0.0
1980-07-07,0.0,5.533200950693791,5.463012357388992,5.521502494812012,921600,0.0,0.0
1980-07-08,0.0,5.556598638147535,5.404523480611884,5.427919864654541,1087800,0.0,0.0
1980-07-09,0.0,5.3928240179723055,5.275842666625977,5.275842666625977,1456200,0.0,0.0
1980-07-10,0.0,5.275844191696977,5.193957650481068,5.205655574798584,687000,0.0,0.0
1980-07-11,0.0,5.346033730319983,5.193958545985974,5.334335803985596,1108800,0.0,0.0
1980-07-14,0.0,5.579995632171631,5.357731833707722,5.579995632171631,786600,0.0,0.0
1980-07-15,0.0,5.615086400656002,5.334332080623202,5.392822742462158,1125600,0.0,0.0
1980-07-16,0.0,5.451312868804746,5.334332080623202,5.392822742462158,569400,0.0,0.0
1980-07-17,0.0,5.486408710479736,5.381125810691235,5.486408710479736,366000,0.0,0.0
1980-07-18,0.0,5.521504329831873,5.381127096569227,5.427919864654541,496800,0.0,0.0
1980-07-21,0.0,5.533200950693791,5.346031011550014,5.521502494812012,448200,0.0,0.0
1980-07-22,0.0,5.673581452039322,5.579996427791274,5.591694355010986,1582200,0.0,0.0
1980-07-23,0.0,5.732065865410297,5.591688737804361,5.650179386138916,540000,0.0,0.0
1980-07-24,0.0,5.743769112858664,5.61508979326413,5.685278415679932,717600,0.0,0.0
1980-07-25,0.0,5.7671613693237305,5.696972790648406,5.7671613693237305,922200,0.0,0.0
1980-07-28,0.0,5.942636966705322,5.708675231372268,5.942636966705322,934200,0.0,0.0
1980-07-29,0.0,6.036216132055383,5.91923537776235,6.012819766998291,829800,0.0,0.0
1980-07-30,0.0,6.03622152775894,5.685278415679932,5.685278415679932,1433400,0.0,0.0
1980-07-31,0.0,5.650185062103114,5.474713476323514,5.591694355010986,1350600,0.0,0.0
1980-08-01,0.0,5.615088178647845,5.498107353424861,5.568295955657959,613200,0.0,0.0
1980-08-04,0.0,5.509805355362414,5.4279188300660675,5.498107433319092,383400,0.0,0.0
1980-08-05,0.0,5.591693451653549,5.486410517194612,5.556599140167236,391800,0.0,0.0
1980-08-06,0.0,5.615089416503906,5.521504414396622,5.615089416503906,251400,0.0,0.0
1980-08-07,0.0,5.778864860534668,5.603393260877713,5.778864860534668,758400,0.0,0.0
1980-08-08,0.0,5.919239540579755,5.732069559484609,5.790560245513916,770400,0.0,0.0
1980-08-11,0.0,5.778867542841145,5.696980401328127,5.732074737548828,304800,0.0,0.0
1980-08-12,0.0,5.743768727464339,5.615089416503906,5.615089416503906,216000,0.0,0.0
1980-08-13,0.0,5.661881324902735,5.568296863662443,5.603391170501709,259200,0.0,0.0
1980-08-14,0.0,5.790560245513916,5.626786645929811,5.790560245513916,443400,0.0,0.0
1980-08-15,0.0,5.825653705154704,5.743767184986709,5.813955783843994,720600,0.0,0.0
1980-08-18,0.0,5.802257250794665,5.708672810545666,5.755465030670166,475800,0.0,0.0
1980-08-19,0.0,5.778867542841145,5.708678870399743,5.732074737548828,505800,0.0,0.0
1980-08-20,0.0,5.778861408480668,5.732068652859663,5.755465030670166,406800,0.0,0.0
1980-08-21,0.0,6.083010974939232,5.767162318895334,6.059615135192871,1105200,0.0,0.0
1980-08-22,0.0,6.118106885252565,6.0479182764905985,6.083012580871582,1016400,0.0,0.0
1980-08-25,0.0,6.141502744634646,6.047917762408033,6.118106365203857,302400,0.0,0.0
1980-08-26,0.0,6.1414999210424055,6.036217065253107,6.047914981842041,477000,0.0,0.0
1980-08-27,0.0,6.036223234530694,5.837355236289456,5.860751628875732,701400,0.0,0.0
