Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-06-02,1.539717439830028,1.5619676057461618,1.5174671211335462,1.5263671875,1081800,0.0,0.0
1982-06-03,1.5174671453577822,1.526367211866313,1.5041168928146362,1.5041168928146362,672300,0.0,0.0
1982-06-04,1.486316564147922,1.4996668149337224,1.4685162806936314,1.4729663133621216,828900,0.0,0.0
1982-06-07,1.4863165094669004,1.504116639486001,1.4685162266674754,1.495216727256775,287100,0.0,0.0
1982-06-08,1.486316564147922,1.4996668149337224,1.4729663133621216,1.4729663133621216,330300,0.0,0.0
1982-06-09,1.4774164988109417,1.486316564147922,1.4685162806936314,1.4729663133621216,841500,0.0,0.0
1982-06-10,1.4729663133621216,1.4774164988109417,1.4685162806936314,1.4729663133621216,591300,0.0,0.0
1982-06-11,1.486317348401556,1.4996676062316043,1.4685170555549614,1.4818673133850098,1161000,0.0,0.0
1982-06-14,1.4774168081921368,1.4818668417924945,1.4685165882110596,1.4685165882110596,498600,0.0,0.0
1982-06-15,1.4774169921875,1.486317060496617,1.4685167710980023,1.4774169921875,666900,0.0,0.0
1982-06-16,1.4774169921875,1.486317060496617,1.4685167710980023,1.4774169921875,239400,0.0,0.0
1982-06-17,1.4596166662474261,1.477416800556866,1.4373663455802654,1.4462664127349854,937800,0.0,0.0
1982-06-18,1.4462664127349854,1.4596166662474261,1.4329161592225443,1.4462664127349854,1577700,0.0,0.0
1982-06-21,1.4551663543414708,1.4640662670135498,1.446266136108728,1.4640662670135498,1314000,0.0,0.0
1982-06-22,1.4863172084157947,1.5130174160003662,1.4596170008312235,1.5130174160003662,702000,0.0,0.0
1982-06-23,1.5619674324989319,1.602017879486084,1.517466952822133,1.602017879486084,765000,0.0,0.0
1982-06-24,1.5753177404403687,1.5931177190637267,1.5575174562563385,1.5753177404403687,720900,0.0,0.0
1982-06-25,1.5797674655914307,1.584217344795291,1.5708674016230975,1.5797674655914307,189000,0.0,0.0
1982-06-28,1.5886671027497825,1.6020173491798009,1.5753171618803241,1.5842170715332031,223200,0.0,0.0
1982-06-29,1.6064684541191414,1.619818709472132,1.5886681645752818,1.610918641090393,670500,0.0,0.0
1982-06-30,1.6198182106018066,1.6242680906418234,1.610918144961103,1.6198182106018066,1296000,0.0,0.0
1982-07-01,1.6198182106018066,1.6287181234621753,1.606467959360416,1.6198182106018066,903600,0.0,0.0
