Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1975-11-17,0.0,3.1850767135620117,3.1850767135620117,3.1850767135620117,53200,0.0,0.0
1975-11-18,0.0,3.2764081954956055,3.2764081954956055,3.2764081954956055,106800,0.0,0.0
1975-11-19,0.0,3.1279983520507812,3.1279983520507812,3.1279983520507812,170400,0.0,0.0
1975-11-20,0.0,3.0823328495025635,3.0823328495025635,3.0823328495025635,61200,0.0,0.0
1975-11-21,0.0,3.0823328495025635,3.0823328495025635,3.0823328495025635,64000,0.0,0.0
1975-11-24,0.0,3.070918321609497,3.070918321609497,3.070918321609497,88400,0.0,0.0
1975-11-25,0.0,3.0595009326934814,3.0595009326934814,3.0595009326934814,75200,0.0,0.0
1975-11-26,0.0,3.0823328495025635,3.0823328495025635,3.0823328495025635,89200,0.0,0.0
1975-11-28,0.0,3.105166435241699,3.105166435241699,3.105166435241699,95600,0.0,0.0
1975-12-01,0.0,3.01383638381958,3.01383638381958,3.01383638381958,102400,0.0,0.0
1975-12-02,0.0,2.8768439292907715,2.8768439292907715,2.8768439292907715,78400,0.0,0.0
1975-12-03,0.0,2.7398507595062256,2.7398507595062256,2.7398507595062256,86400,0.0,0.0
1975-12-04,0.0,2.7398507595062256,2.7398507595062256,2.7398507595062256,48800,0.0,0.0
1975-12-05,0.0,2.71701979637146,2.71701979637146,2.71701979637146,62800,0.0,0.0
1975-12-08,0.0,2.71701979637146,2.71701979637146,2.71701979637146,87600,0.0,0.0
1975-12-09,0.0,2.71701979637146,2.71701979637146,2.71701979637146,158800,0.0,0.0
1975-12-10,0.0,2.72843599319458,2.72843599319458,2.72843599319458,99600,0.0,0.0
1975-12-11,0.0,2.7398507595062256,2.7398507595062256,2.7398507595062256,62400,0.0,0.0
1975-12-12,0.0,2.8768439292907715,2.8768439292907715,2.8768439292907715,116400,0.0,0.0
1975-12-15,0.0,2.8654279708862305,2.8654279708862305,2.8654279708862305,170800,0.0,0.0
1975-12-16,0.0,2.9110937118530273,2.9110937118530273,2.9110937118530273,110400,0.0,0.0
1975-12-17,0.0,2.9339253902435303,2.9339253902435303,2.9339253902435303,92800,0.0,0.0
1975-12-18,0.0,2.9453418254852295,2.9453418254852295,2.9453418254852295,81200,0.0,0.0
1975-12-19,0.0,2.9225082397460938,2.9225082397460938,2.9225082397460938,130800,0.0,0.0
1975-12-22,0.0,2.9225082397460938,2.9225082397460938,2.9225082397460938,67200,0.0,0.0
1975-12-23,0.0,2.9339253902435303,2.9339253902435303,2.9339253902435303,59600,0.0,0.0
1975-12-24,0.0,2.854013442993164,2.854013442993164,2.854013442993164,135200,0.0,0.0
1975-12-26,0.0,2.8654279708862305,2.8654279708862305,2.8654279708862305,46800,0.0,0.0
1975-12-29,0.0,2.8311800956726074,2.8311800956726074,2.8311800956726074,52800,0.0,0.0
1975-12-30,0.0,2.8197643756866455,2.8197643756866455,2.8197643756866455,54000,0.0,0.0
1975-12-31,0.0,2.8197643756866455,2.8197643756866455,2.8197643756866455,34800,0.0,0.0
1976-01-02,0.0,2.8768439292907715,2.8768439292907715,2.8768439292907715,71600,0.0,0.0
1976-01-05,0.0,2.9110937118530273,2.9110937118530273,2.9110937118530273,104400,0.0,0.0
1976-01-06,0.0,3.036668539047241,3.036668539047241,3.036668539047241,132800,0.0,0.0
1976-01-07,0.0,2.9681730270385747,2.9681730270385747,2.968173027038574,120000,0.0,0.0
1976-01-08,0.0,2.9681730270385747,2.9681730270385747,2.968173027038574,85200,0.0,0.0
1976-01-09,0.0,2.9681730270385747,2.9681730270385747,2.968173027038574,59600,0.0,0.0
1976-01-12,0.0,2.9681730270385747,2.9681730270385747,2.968173027038574,48800,0.0,0.0
1976-01-13,0.0,2.9339253902435303,2.9339253902435303,2.9339253902435303,112400,0.0,0.0
1976-01-14,0.0,2.9681730270385747,2.9681730270385747,2.968173027038574,90000,0.0,0.0
1976-01-15,0.0,2.9225082397460938,2.9225082397460938,2.9225082397460938,174000,0.0,0.0
1976-01-16,0.0,2.9225082397460938,2.9225082397460938,2.9225082397460938,14400,0.0,0.0
1976-01-19,0.0,2.9339253902435303,2.9339253902435303,2.9339253902435303,56000,0.0,0.0
1976-01-20,0.0,2.9453418254852295,2.9453418254852295,2.9453418254852295,59200,0.0,0.0
1976-01-21,0.0,2.9225082397460938,2.9225082397460938,2.9225082397460938,62000,0.0,0.0
1976-01-22,0.0,2.8996760845184326,2.8996760845184326,2.8996760845184326,52800,0.0,0.0
1976-01-23,0.0,2.8768439292907715,2.8768439292907715,2.8768439292907715,42800,0.0,0.0
1976-01-26,0.0,2.751268148422241,2.751268148422241,2.751268148422241,84400,0.0,0.0
1976-01-27,0.0,2.7398507595062256,2.7398507595062256,2.7398507595062256,272000,0.0,0.0
1976-01-28,0.0,2.8083486557006836,2.8083486557006836,2.8083486557006836,212000,0.0,0.0
1976-01-29,0.0,3.036669867639323,2.9910056591033936,2.9910056591033936,158400,0.0,0.0
1976-01-30,0.0,2.9681724309921265,2.9225082397460938,2.9225082397460938,304400,0.0,0.0
1976-02-02,0.0,3.0138372274545526,2.9681730270385747,2.968173027038574,73600,0.0,0.0
1976-02-03,0.0,3.025253668598745,2.9795894622802734,2.9795894622802734,66800,0.0,0.0
1976-02-04,0.0,3.0595005714532104,3.01383638381958,3.01383638381958,184000,0.0,0.0
1976-02-05,0.0,3.036669867639323,2.9910056591033936,2.9910056591033936,64800,0.0,0.0
1976-02-06,0.0,2.97958959865199,2.9339253902435303,2.9339253902435303,72000,0.0,0.0
1976-02-09,0.0,3.0138372274545526,2.9681730270385747,2.968173027038574,42800,0.0,0.0
1976-02-10,0.0,2.97958959865199,2.9339253902435303,2.9339253902435303,91200,0.0,0.0
1976-02-11,0.0,2.991006039833838,2.9453418254852295,2.9453418254852295,28800,0.0,0.0
1976-02-12,0.0,3.0138372274545526,2.9681730270385747,2.968173027038574,131200,0.0,0.0
1976-02-13,0.0,3.0138372274545526,2.9681730270385747,2.968173027038574,20400,0.0,0.0
1976-02-17,0.0,2.991006039833838,2.9453418254852295,2.9453418254852295,36000,0.0,0.0
1976-02-18,0.0,2.97958959865199,2.9339253902435303,2.9339253902435303,79600,0.0,0.0
1976-02-19,0.0,2.9110921616573258,2.8654279708862305,2.8654279708862305,159600,0.0,0.0
1976-02-20,0.0,2.9453402748258095,2.8996760845184326,2.8996760845184326,388000,0.0,0.0
1976-02-23,0.0,2.9453402748258095,2.8996760845184326,2.8996760845184326,223600,0.0,0.0
1976-02-24,0.0,2.991006039833838,2.9453418254852295,2.9453418254852295,114800,0.0,0.0
1976-02-25,0.0,3.0138372274545526,2.9681730270385747,2.968173027038574,96400,0.0,0.0
1976-02-26,0.0,2.9681724309921265,2.9225082397460938,2.9225082397460938,248400,0.0,0.0
1976-02-27,0.0,2.9110921616573258,2.8654279708862305,2.8654279708862305,124000,0.0,0.0
