Rank,Name,stock,marketcap,Year,Month,monthly_average_close,Growth
1,Apple,AAPL,2430531272704,2010,January,5.86481237411499,NA
1,Apple,AAPL,2430531272704,2010,February,6.248348236083984,0.0653961009327038
1,Apple,AAPL,2430531272704,2010,March,7.17604398727417,0.1484705583201615
1,Apple,AAPL,2430531272704,2010,April,7.972736358642578,0.11102111034732284
1,Apple,AAPL,2430531272704,2010,May,7.844180107116699,-0.016124482955782404
1,Apple,AAPL,2430531272704,2010,June,7.680808544158936,-0.02082710502905747
1,Apple,AAPL,2430531272704,2010,July,7.85547924041748,0.022741186068408886
1,Apple,AAPL,2430531272704,2010,August,7.423386573791504,-0.05500525854651894
1,Apple,AAPL,2430531272704,2010,September,8.664693832397461,0.1672157641619299
1,Apple,AAPL,2430531272704,2010,October,9.19083023071289,0.06072186836518047
1,Apple,AAPL,2430531272704,2010,November,9.501386642456056,0.03378981049017564
1,Apple,AAPL,2430531272704,2010,December,9.849806785583496,0.03667045203387018
1,Apple,AAPL,2430531272704,2011,January,10.36159896850586,0.05195961647404488
1,Apple,AAPL,2430531272704,2011,February,10.785748481750488,0.04093475481282704
1,Apple,AAPL,2430531272704,2011,March,10.64222526550293,-0.013306746072412147
1,Apple,AAPL,2430531272704,2011,April,10.691696166992188,0.004648548612254912
1,Apple,AAPL,2430531272704,2011,May,10.621458053588867,-0.006569407913045836
1,Apple,AAPL,2430531272704,2011,June,10.25013828277588,-0.03495939718817812
1,Apple,AAPL,2430531272704,2011,July,11.923836708068848,0.16328544836369818
1,Apple,AAPL,2430531272704,2011,August,11.75130844116211,-0.01446919067501055
1,Apple,AAPL,2430531272704,2011,September,11.644121170043944,-0.009121305227825838
1,Apple,AAPL,2430531272704,2011,October,12.360507011413574,0.061523392869925544
1,Apple,AAPL,2430531272704,2011,November,11.670997619628906,-0.05578326124874826
1,Apple,AAPL,2430531272704,2011,December,12.36722183227539,0.05965421597512258
1,Apple,AAPL,2430531272704,2012,January,13.939237594604492,0.1271114712462365
1,Apple,AAPL,2430531272704,2012,February,16.564138412475586,0.18831021424637479
1,Apple,AAPL,2430531272704,2012,March,18.308074951171875,0.10528386658389736
1,Apple,AAPL,2430531272704,2012,April,17.832622528076172,-0.02596954755558667
1,Apple,AAPL,2430531272704,2012,May,17.641765594482422,-0.010702684548683717
1,Apple,AAPL,2430531272704,2012,June,17.833234786987305,0.010853176315003644
1,Apple,AAPL,2430531272704,2012,July,18.6503849029541,0.04582175503925185
1,Apple,AAPL,2430531272704,2012,August,20.401220321655273,0.09387663728183168
1,Apple,AAPL,2430531272704,2012,September,20.458263397216797,0.002796061934637015
1,Apple,AAPL,2430531272704,2012,October,18.2569522857666,-0.10760009628919277
1,Apple,AAPL,2430531272704,2012,November,18.03103256225586,-0.012374448920856996
1,Apple,AAPL,2430531272704,2012,December,16.39484214782715,-0.09074302366098148
1,Apple,AAPL,2430531272704,2013,January,14.032526969909668,-0.144088924834849
1,Apple,AAPL,2430531272704,2013,February,13.677698135375977,-0.025286168007698156
1,Apple,AAPL,2430531272704,2013,March,13.716739654541016,0.00285439251390277
1,Apple,AAPL,2430531272704,2013,April,13.720458030700684,2.7108308922645303e-4
1,Apple,AAPL,2430531272704,2013,May,14.028063774108888,0.022419495232587065
1,Apple,AAPL,2430531272704,2013,June,12.36863899230957,-0.11829321626424746
1,Apple,AAPL,2430531272704,2013,July,14.115400314331056,0.1412250226647869
1,Apple,AAPL,2430531272704,2013,August,15.297801971435549,0.08376678172591576
1,Apple,AAPL,2430531272704,2013,September,14.969063758850098,-0.021489244873170634
1,Apple,AAPL,2430531272704,2013,October,16.411806106567383,0.09638160214691441
1,Apple,AAPL,2430531272704,2013,November,17.561500549316406,0.07005288968707468
1,Apple,AAPL,2430531272704,2013,December,17.71783447265625,0.008902082307877111
1,Apple,AAPL,2430531272704,2014,January,15.809677124023438,-0.10769698472901143
1,Apple,AAPL,2430531272704,2014,February,16.718910217285156,0.05751117408211346
1,Apple,AAPL,2430531272704,2014,March,17.0524959564209,0.019952600665972736
1,Apple,AAPL,2430531272704,2014,April,18.74745750427246,0.0993966837572154
1,Apple,AAPL,2430531272704,2014,May,20.22305679321289,0.07870930170686598
1,Apple,AAPL,2430531272704,2014,June,20.78246307373047,0.027661806335099737
1,Apple,AAPL,2430531272704,2014,July,21.37957191467285,0.02873137985733475
1,Apple,AAPL,2430531272704,2014,August,23.03667640686035,0.07750877794939501
1,Apple,AAPL,2430531272704,2014,September,22.643367767333984,-0.017073150335577027
1,Apple,AAPL,2430531272704,2014,October,24.27278709411621,0.07196011403978858
1,Apple,AAPL,2430531272704,2014,November,26.84518814086914,0.10597880815163936
1,Apple,AAPL,2430531272704,2014,December,24.915260314941406,-0.07189101509739879
1,Apple,AAPL,2430531272704,2015,January,26.445659637451172,0.06142417551190513
1,Apple,AAPL,2430531272704,2015,February,29.110761642456055,0.10077653730484694
1,Apple,AAPL,2430531272704,2015,March,28.197505950927734,-0.0313717553235158
1,Apple,AAPL,2430531272704,2015,April,28.36067008972168,0.0057864741327797115
1,Apple,AAPL,2430531272704,2015,May,29.646520614624023,0.04533921521721571
1,Apple,AAPL,2430531272704,2015,June,28.542848587036133,-0.037227708503623586
1,Apple,AAPL,2430531272704,2015,July,27.6030330657959,-0.032926479582948455
1,Apple,AAPL,2430531272704,2015,August,25.775808334350582,-0.06619652003784716
1,Apple,AAPL,2430531272704,2015,September,25.213483810424805,-0.021815980186987428
1,Apple,AAPL,2430531272704,2015,October,27.316509246826172,0.08340876065416422
1,Apple,AAPL,2430531272704,2015,November,27.157955169677734,-0.005804331575304024
1,Apple,AAPL,2430531272704,2015,December,24.164379119873047,-0.110228330192807
1,Apple,AAPL,2430531272704,2016,January,22.34619903564453,-0.07524216017341098
1,Apple,AAPL,2430531272704,2016,February,22.31743049621582,-0.001287401914876982
1,Apple,AAPL,2430531272704,2016,March,25.15644264221191,0.1272105292980515
1,Apple,AAPL,2430531272704,2016,April,21.63652229309082,-0.13992122809982474
1,Apple,AAPL,2430531272704,2016,May,23.189435958862305,0.0717727943860634
1,Apple,AAPL,2430531272704,2016,June,22.20018768310547,-0.042659436715569404
1,Apple,AAPL,2430531272704,2016,July,24.19960021972656,0.09006286636678572
1,Apple,AAPL,2430531272704,2016,August,24.771961212158203,0.023651671400962984
1,Apple,AAPL,2430531272704,2016,September,26.394634246826172,0.06550442335875904
1,Apple,AAPL,2430531272704,2016,October,26.50904083251953,0.004334463763486937
1,Apple,AAPL,2430531272704,2016,November,25.93641662597656,-0.021601091120600446
1,Apple,AAPL,2430531272704,2016,December,27.180198669433594,0.047955045656204016
1,Apple,AAPL,2430531272704,2017,January,28.477956771850582,0.04774645388727148
1,Apple,AAPL,2430531272704,2017,February,32.28767776489258,0.13377789086356665
1,Apple,AAPL,2430531272704,2017,March,33.85976028442383,0.048689860292170824
1,Apple,AAPL,2430531272704,2017,April,33.85740280151367,-6.962491436304526e-5
1,Apple,AAPL,2430531272704,2017,May,36.15317153930664,0.06780699486170662
1,Apple,AAPL,2430531272704,2017,June,34.084716796875,-0.057213645563094356
1,Apple,AAPL,2430531272704,2017,July,35.19940948486328,0.032703592481967754
1,Apple,AAPL,2430531272704,2017,August,38.965728759765625,0.10699950169681015
1,Apple,AAPL,2430531272704,2017,September,36.61827850341797,-0.06024397158899116
1,Apple,AAPL,2430531272704,2017,October,40.1632080078125,0.09680765042145949
1,Apple,AAPL,2430531272704,2017,November,40.977638244628906,0.020278017549245176
1,Apple,AAPL,2430531272704,2017,December,40.352901458740234,-0.015245797772900162
1,Apple,AAPL,2430531272704,2018,January,39.9236946105957,-0.010636331778605406
1,Apple,AAPL,2430531272704,2018,February,42.64589309692383,0.06818503429804457
1,Apple,AAPL,2430531272704,2018,March,40.170257568359375,-0.058050971589173446
1,Apple,AAPL,2430531272704,2018,April,39.5669059753418,-0.015019858709913174
1,Apple,AAPL,2430531272704,2018,May,44.913352966308594,0.13512421199420335
1,Apple,AAPL,2430531272704,2018,June,44.490352630615234,-0.009418141994668486
1,Apple,AAPL,2430531272704,2018,July,45.7353401184082,0.027983313554054708
1,Apple,AAPL,2430531272704,2018,August,54.901710510253906,0.2004220449244302
1,Apple,AAPL,2430531272704,2018,September,54.44586181640625,-0.008302996201958372
1,Apple,AAPL,2430531272704,2018,October,52.78648376464844,-0.030477578945362377
1,Apple,AAPL,2430531272704,2018,November,43.22170639038086,-0.1811974712487516
1,Apple,AAPL,2430531272704,2018,December,38.17779922485352,-0.11669847367825986
1,Apple,AAPL,2430531272704,2019,January,40.2834587097168,0.055154030028333904
1,Apple,AAPL,2430531272704,2019,February,42.08721923828125,0.04477670454174202
1,Apple,AAPL,2430531272704,2019,March,46.1707649230957,0.09702578974617036
1,Apple,AAPL,2430531272704,2019,April,48.77645111083984,0.05643584619150869
1,Apple,AAPL,2430531272704,2019,May,42.7177848815918,-0.12421293659680771
1,Apple,AAPL,2430531272704,2019,June,48.293270111083984,0.1305190623752312
1,Apple,AAPL,2430531272704,2019,July,51.98261260986328,0.07639454711377147
1,Apple,AAPL,2430531272704,2019,August,51.126914978027344,-0.016461227877445618
1,Apple,AAPL,2430531272704,2019,September,54.857208251953125,0.07296143871635787
1,Apple,AAPL,2430531272704,2019,October,60.9290657043457,0.11068476952937897
1,Apple,AAPL,2430531272704,2019,November,65.65434265136719,0.0775537404422149
1,Apple,AAPL,2430531272704,2019,December,72.13994598388672,0.09878407231885483
1,Apple,AAPL,2430531272704,2020,January,76.0362319946289,0.05401010435483924
1,Apple,AAPL,2430531272704,2020,February,67.31475830078125,-0.11470155036698464
1,Apple,AAPL,2430531272704,2020,March,62.61878204345703,-0.06976146651736129
1,Apple,AAPL,2430531272704,2020,April,72.34808349609375,0.15537353386855474
1,Apple,AAPL,2430531272704,2020,May,78.50450134277344,0.08509441507199134
1,Apple,AAPL,2430531272704,2020,June,90.0749740600586,0.14738610550196496
1,Apple,AAPL,2430531272704,2020,July,104.94921112060548,0.16513173848520132
1,Apple,AAPL,2430531272704,2020,August,127.67799377441406,0.21656935208106642
1,Apple,AAPL,2430531272704,2020,September,114.58763122558594,-0.10252638032483996
1,Apple,AAPL,2430531272704,2020,October,107.71099090576172,-0.06001206453326835
1,Apple,AAPL,2430531272704,2020,November,117.99665832519533,0.0954932020673055
1,Apple,AAPL,2430531272704,2020,December,131.51597595214844,0.11457373300940665
2,Microsoft,MSFT,1920016580608,2010,January,21.67011833190918,NA
2,Microsoft,MSFT,1920016580608,2010,February,22.1500244140625,0.02214598345993617
2,Microsoft,MSFT,1920016580608,2010,March,22.629026412963867,0.021625348575113116
2,Microsoft,MSFT,1920016580608,2010,April,23.594762802124023,0.042676886381947866
2,Microsoft,MSFT,1920016580608,2010,May,20.022645950317383,-0.1513944802820851
2,Microsoft,MSFT,1920016580608,2010,June,17.857406616210938,-0.10813952059478552
2,Microsoft,MSFT,1920016580608,2010,July,20.03040313720703,0.1216860078116522
2,Microsoft,MSFT,1920016580608,2010,August,18.31156349182129,-0.08581153527524116
2,Microsoft,MSFT,1920016580608,2010,September,19.10737991333008,0.043459774577099194
2,Microsoft,MSFT,1920016580608,2010,October,20.808238983154297,0.08901581888983257
2,Microsoft,MSFT,1920016580608,2010,November,19.829240798950195,-0.04704858421688967
2,Microsoft,MSFT,1920016580608,2010,December,21.909502029418945,0.10490876839716848
2,Microsoft,MSFT,1920016580608,2011,January,21.76820182800293,-0.006449265767258654
2,Microsoft,MSFT,1920016580608,2011,February,20.988773345947266,-0.03580582761103381
2,Microsoft,MSFT,1920016580608,2011,March,20.049089431762695,-0.04477078763471494
2,Microsoft,MSFT,1920016580608,2011,April,20.467607498168945,0.020874667043143332
2,Microsoft,MSFT,1920016580608,2011,May,19.87847328186035,-0.028783736270167306
2,Microsoft,MSFT,1920016580608,2011,June,20.665355682373047,0.03958464965369081
2,Microsoft,MSFT,1920016580608,2011,July,21.77809715270996,0.053845744899810775
2,Microsoft,MSFT,1920016580608,2011,August,21.27568244934082,-0.023069724588248637
2,Microsoft,MSFT,1920016580608,2011,September,19.907958984375,-0.0642857623120896
2,Microsoft,MSFT,1920016580608,2011,October,21.29967498779297,0.0699075181192745
2,Microsoft,MSFT,1920016580608,2011,November,20.613914489746097,-0.03219581981602474
2,Microsoft,MSFT,1920016580608,2011,December,20.920141220092773,0.014855341060961582
2,Microsoft,MSFT,1920016580608,2012,January,23.79707145690918,0.13751963748950485
2,Microsoft,MSFT,1920016580608,2012,February,25.74639892578125,0.08191459492828088
2,Microsoft,MSFT,1920016580608,2012,March,26.168210983276367,0.01638334194661818
2,Microsoft,MSFT,1920016580608,2012,April,25.973535537719727,-0.007439386883614406
2,Microsoft,MSFT,1920016580608,2012,May,23.833297729492188,-0.08240071149033242
2,Microsoft,MSFT,1920016580608,2012,June,24.976383209228516,0.047961700168828614
2,Microsoft,MSFT,1920016580608,2012,July,24.061914443969727,-0.03661333819225284
2,Microsoft,MSFT,1920016580608,2012,August,25.33087730407715,0.05273740221553497
2,Microsoft,MSFT,1920016580608,2012,September,24.45966911315918,-0.034393131373217097
2,Microsoft,MSFT,1920016580608,2012,October,23.456958770751953,-0.04099443609675706
2,Microsoft,MSFT,1920016580608,2012,November,22.05869483947754,-0.05960977059898675
2,Microsoft,MSFT,1920016580608,2012,December,22.133272171020508,0.0033808587536874922
2,Microsoft,MSFT,1920016580608,2013,January,22.74647521972656,0.027705033578764235
2,Microsoft,MSFT,1920016580608,2013,February,23.22723388671875,0.021135523739311483
2,Microsoft,MSFT,1920016580608,2013,March,23.903995513916016,0.02913655713366005
2,Microsoft,MSFT,1920016580608,2013,April,27.65544319152832,0.1569381016419766
2,Microsoft,MSFT,1920016580608,2013,May,29.36383056640625,0.06177400098224639
2,Microsoft,MSFT,1920016580608,2013,June,29.060945510864254,-0.010314902711927237
2,Microsoft,MSFT,1920016580608,2013,July,26.78923988342285,-0.07817039630015271
2,Microsoft,MSFT,1920016580608,2013,August,28.299800872802734,0.05638685516846695
2,Microsoft,MSFT,1920016580608,2013,September,28.198129653930664,-0.0035926478539211387
2,Microsoft,MSFT,1920016580608,2013,October,30.002872467041016,0.0640022170001896
2,Microsoft,MSFT,1920016580608,2013,November,32.55254364013672,0.08498090227516006
2,Microsoft,MSFT,1920016580608,2013,December,31.937854766845703,-0.01888297517042923
2,Microsoft,MSFT,1920016580608,2014,January,32.30495834350586,0.011494309161967947
2,Microsoft,MSFT,1920016580608,2014,February,32.95146942138672,0.020012750705522112
2,Microsoft,MSFT,1920016580608,2014,March,35.256622314453125,0.0699559969113328
2,Microsoft,MSFT,1920016580608,2014,April,34.7491340637207,-0.014394125625709239
2,Microsoft,MSFT,1920016580608,2014,May,35.462032318115234,0.020515568908487467
2,Microsoft,MSFT,1920016580608,2014,June,36.120330810546875,0.018563473365720187
